text,label
Colabore! Não divulgue conteúdos que não tenham sido produzidos por fontes confiáveis e não espalhe fake news.,chatbot
"Estou encerrando o chat por falta de comunicação. Mas não deixe de resolver seu problema, retorne o contato que teremos o maior prazer em te ajudar!",chatbot
Só um  momento por favor,chatbot
"Você está com algum desses outros sintomas? 😷

1. Falta de ar
2. Mal-estar intenso
3. Tosse incontrolável
4. Batimento das narinas durante a respiração (para crianças)
5. Febre acima de 38°C persistente por mais de 48h
6. Confusão mental 
7. Perda de olfato e/ou paladar

Digite os números dos sintomas separados por vírgula (exemplo: 2, 5) ou digite *NÃO* se não tiver apresentado nenhum dos sintomas descritos acima.",chatbot
"Posso fazer uma última pergunta? 

De 1 a 5, que nota representa o quão satisfeito você ficou com o meu atendimento? :)",chatbot
"😁 O assunto que você deseja tratar está relacionado a que?
1 - Compra de créditos
2 - Cartão de transporte
3 - Cartão de transporte escolar
4 - Reclamações/ Sugestões
5 - Elogios",chatbot
"#FiqueEmCasa 🏠 Com esse esforço coletivo, venceremos a luta contra o novo Coronavírus (COVID-19).",chatbot
Qual o seu primeiro nome?,chatbot
Colabore! Não divulgue conteúdos que não tenham sido produzidos por fontes confiáveis e não espalhe fake news.,chatbot
Conto com a sua paciência! Logo alguém do meu time vai continuar a conversa. Você está em 4 º lugar na fila.,chatbot
Do que você precisa agora?,chatbot
"Antes de iniciar, qual o seu nome? (pode ser só o primeiro, se quiser! 😊)",chatbot
"É muito importante que, se você perceber qualquer mudança nos sintomas, você volte aqui e escreva ""triagem"". Isso fará com que você possa iniciar uma nova avaliação.",chatbot
Qual o seu primeiro nome?,chatbot
Qual o seu primeiro nome?,chatbot
Qual o seu primeiro nome?,chatbot
É o seu primeiro imóvel?,chatbot
Você andou de transporte público ou esteve aeroporto nos últimos 7 dias?,chatbot
"Informe o CEP da sua localidade, por favor. Exemplo: 57000-000 ou 57000000. Se não souber seu CEP, digite *NÃO*.",chatbot
"Vou verificar, um momento.",chatbot
Qual o seu primeiro nome?,chatbot
Qual o seu primeiro nome?,chatbot
"Do que você precisa agora?

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Orientações sobre cuidados com a Saúde Mental
4. Outros",chatbot
"Victor, deseja realizar a autoavaliação do novo Coronavírus (COVID-19)?",chatbot
"Há quantos dias os sintomas começaram?

Responda apenas com o número de dias (exemplo: 2).",chatbot
Pera só um instante que vou checar aqui se encontro algum pedido seu em aberto.,chatbot
Você prefere fazer direto pelo site ou fazer direto por aqui?,chatbot
Qual o seu primeiro nome?,chatbot
Qual o seu primeiro nome?,chatbot
"Quer fazer outra pergunta? (responda com *Sim* ou *Não*, por favor).",chatbot
Nos próximos instantes alguém do meu time vai te atender! Você está em 1 º lugar na fila.,chatbot
Qual o seu primeiro nome?,chatbot
"Desculpe, não entendi sua dúvida. Do que você precisa agora?",chatbot
"Então, se puder faz o teste agora!",chatbot
Qual o seu primeiro nome?,chatbot
"Roberto, você gostaria de tirar alguma dúvida sobre os temas a seguir?",chatbot
"Você está com algum desses sintomas? 😷

Selecione uma ou mais das opções abaixo.",chatbot
"De acordo com suas respostas e com o protocolo do Ministério da Saúde, *você possui sintomas leves que podem estar relacionados ao novo Coronavírus (COVID-19).* 😷 ",chatbot
"Entendi que você quer alterar seu nome fantasia, correto? (Sim / Não)",chatbot
Quer conhecer um pouquinho mais sobre os meus produtos?,chatbot
"Informe o CPF do titular do cartão (apenas os números)

ex: 𝟭𝟮𝟯𝟭𝟮𝟯𝟭𝟮𝟯𝟭𝟮",chatbot
Mas já estamos com seu cadastro e em breve entraremos em contato.,chatbot
"Há quantos dias os sintomas começaram?

Responda apenas com o número de dias (exemplo: 2).",chatbot
"Do que você precisa agora? (Digite o número da opção desejada)

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Cuidados com a Saúde Mental
4. Outros",chatbot
"Do que você precisa agora?

1. Atendimento online sobre o novo Coronavírus (COVID-19)
2. Informações sobre o novo Coronavírus (COVID-19)
3. Outros",chatbot
Colabore! Não divulgue conteúdos que não tenham sido produzidos por fontes confiáveis e não espalhe fake news.,chatbot
"Do que você precisa agora?

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Orientações sobre cuidados psicológicos
4. Outros",chatbot
"Certo, então vou te passar algumas opções de atendimento. Sobre qual assunto você deseja falar?

1 – 2º via de boleto
2 – Financeiro
3 – Assistência técnica
4 – Financiamento bancário
5 – Cancelamento da compra
6 - Andamento de obra
7 - Via do contrato
8 - Empreendimentos
9 – Outras informações",chatbot
"Do que você precisa agora? (Digite o número da opção desejada)

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Orientações sobre cuidados com a Saúde Mental
4. Outros",chatbot
"Informe o CEP da sua localidade, por favor. Exemplo: 57000-000 ou 57000000. Se não souber seu CEP, digite *NÃO*.",chatbot
"Consegui entender que você quer saber mais sobre mitos. O que você gostaria de saber?

1. Os animais de estimação podem espalhar o novo Coronavírus?
2. Quais as pessoas mais afetadas pelo novo Coronavírus?
3. Os antibióticos são eficazes na prevenção e no tratamento do novo Coronavírus?
4. Posso tomar algum remédio para prevenir ou tratar novo Coronavírus?
5. Quanto tempo o novo Coronavírus sobrevive em superfícies?
6. O novo Coronavírus pode matar?
7. Há restrições para comprar mercadorias vindas de países com casos confirmados da doença?",chatbot
Pera só um instante. To consultando o meu time de atendimento para ter a informação mais atualizada sobre o seu pedido para você.,chatbot
Digite seu nome completo:,chatbot
Deseja realizar a autoavaliação do COVID-19?,chatbot
Qual o seu primeiro nome?,chatbot
Um minutinho que já já alguém do nosso Time vai falar com você!,chatbot
Você tem alguma dica para melhorar ainda mais o nosso atendimento?,chatbot
Nos próximos instantes alguém do meu time vai te atender! Você está em 68 º lugar na fila.,chatbot
"Eu te ajudo, me conta um pouco do seu negocio ?",chatbot
Qual o seu primeiro nome?,chatbot
"Você está com algum desses sintomas? 😷
 1. Falta de ar
 2. Mal-estar intenso
 3. Tosse incontrolável
 4. Alargamento das narinas durante a respiração (para crianças)
 5. Febre acima de 37.8°C persistente por mais de 48h
 6. Confusão mental 
 7. Nenhum dos sintomas acima
 
Digite os números dos sintomas separados por vírgula (exemplo: 2, 5) ou digite 7 se não estiver com os sintomas descritos acima.",chatbot
Precisando pode sempre entrar em contato com a gente,chatbot
"Do que você precisa agora? (Digite o número da opção desejada)

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Cuidados com a Saúde Mental
4. Outros",chatbot
"O assunto que você deseja tratar está relacionado a que?
1 - Compra de créditos
2 - Cartão de transporte
3 - Cartão de transporte escolar
4 - Reclamações/ Sugestões
5 - Elogios",chatbot
Qual o seu primeiro nome?,chatbot
Qual o seu primeiro nome?,chatbot
"Entendi, obrigado! Agora, preciso saber um pouco mais sobre você. ",chatbot
"Do que você precisa agora? (Digite o número da opção desejada)

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Cuidados com a Saúde Mental
4. Outros",chatbot
"Além de você, quantas pessoas moram na sua casa? 🏠",chatbot
Qual o seu primeiro nome?,chatbot
"Legal, mas antes de te encaminhar para um consultor eu tenho uma última pergunta.
",chatbot
Combinado?,chatbot
"Do que você precisa agora? (Digite o número da opção desejada)

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Cuidados com a Saúde Mental
4. Outros",chatbot
"Consegui entender que você quer saber mais sobre sintomas. O que você gostaria de saber?

1. Não me sinto bem. Devo procurar um médico?
2. Onde buscar atendimento?
3. Como é feito o diagnóstico do novo Coronavírus (COVID-19)?
4. Para quem o exame é indicado?
5. O que é isolamento domiciliar?
6. Quando é preciso fazer isolamento domiciliar?
7. O que é o distanciamento social?
8. Todo caso de COVID-19 precisa ser internado no hospital?",chatbot
Um minutinho que já já alguém do nosso time vai falar com você!,chatbot
Por falta de comunicação o atendimento será encerrado. Estarei sempre a disposição.😄,chatbot
"Certo 😄, com relação a esse assunto eu posso tratar o seguinte:
1 - Informações de Embarque
2 - Acessibilidade
3 - Acompanhante Menor de Idade
4 - Transporte de animais
O que você deseja?
",chatbot
Preciso da sua ajuda em dois passos!,chatbot
Não consegui entender.,chatbot
"CPF inválido! Por favor, me informe um CPF válido com o formato: 000.000.000-00 ou 00000000000. (se não se sentir a vontade, digite *Não*)",chatbot
Diga lá! Precisa de ajuda com o que?,chatbot
Nos próximos instantes alguém do meu time vai te atender!,chatbot
Qual o seu primeiro nome?,chatbot
Obrigado por informar!,chatbot
"Nao, deseja realizar a autoavaliação do novo Coronavírus (COVID-19)?",chatbot
"Por favor, antes de desconectar, avalie o meu atendimento. 
Dê uma nota de 1 a 10, sendo:

1.Ruim 😔 >>> 10. Muito bom! 🤩",chatbot
"Seu atendimento foi encerrado porque você não nos enviou mais mensagens. Caso queira iniciar um novo atendimento digite ""Iniciar"".",chatbot
"Por favor, informe seu nome completo para continuar o atendimento.",chatbot
"Informe o CEP da sua localidade, por favor. Exemplo: 57000-000 ou 57000000. Se não souber seu CEP, digite *NÃO*.",chatbot
Um minutinho que já já alguém do nosso Time vai falar com você!,chatbot
"Você está com algum dos sintomas abaixo?

1. Febre
2. Tosse
3. Nariz escorrendo
4. Dor de cabeça
5. Dor de garganta
6. Dores pelo corpo
7. Diarreia

Digite os números dos sintomas separados por vírgula (exemplo: 2, 5, 7) ou digite *NÃO* se não tiver apresentado nenhum dos sintomas descritos acima.",chatbot
"Além de você, quantas pessoas moram na sua casa? 🏠",chatbot
Qual o seu primeiro nome?,chatbot
"Você está com algum dos sintomas abaixo?

Selecione uma ou mais das opções abaixo ou digite *NÃO* se não tiver apresentado nenhum dos sintomas descritos.",chatbot
Como posso te ajudar?,chatbot
"Então vamos começar?

⚠️O resultado da autoavaliação depende da veracidade de suas respostas e não substitui a avaliação de um profissional de saúde.",chatbot
Diga lá! Te ajudo com o que?,chatbot
"Agora vou ficando por aqui. Se precisar, pode me chamar de novo, ok? Até breve!",chatbot
Colabore! Não divulgue conteúdos que não tenham sido produzidos por fontes confiáveis e não espalhe fake news.,chatbot
Você está em isolamento domiciliar?,chatbot
Conto com a sua paciência! Logo alguém do meu time vai continuar a conversa. Você está em 70 º lugar na fila.,chatbot
Hmmm... Deixa eu dar uma olhadinha aqui!,chatbot
"Fique tranquilo(a), aqui você tira dúvidas e recebe orientações sobre o novo Coronavírus.",chatbot
Um minutinho que já já alguém do nosso Time vai falar com você!,chatbot
Em alguns instantes vamos te atender.,chatbot
"Oi tudo bom? 
Pode me confirmar seu telefone?

DDD + Número de telefone
",chatbot
Qual o seu primeiro nome?,chatbot
Qual sua preferencia ?,chatbot
Minha última atualização aconteceu em: 24 de Março de 2020.,chatbot
Em alguns instantes vamos te atender.,chatbot
Por falta de comunicação estou encerrando o atendimento. Qualquer dúvida estarei a disposição.☺,chatbot
Qual o seu primeiro nome?,chatbot
"Do que você precisa agora? (Digite o número da opção desejada)

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Orientações sobre cuidados com a Saúde Mental
4. Outros",chatbot
"⏰ Sua posição na fila é 12

Aguarde por favor, assim que possível iniciaremos seu atendimento.",chatbot
Posso te ajudar em algo mais?,chatbot
Qual o seu primeiro nome?,chatbot
"Me informa agora teu telefone, por favor. ",chatbot
Vou te passar para um atendente. Só um momento...,chatbot
"Certo! Antes de encerrar peço 1 minutinho para que você avalie o meu atendimento (digite um número de 1 a 10), sendo:

1. Odiei. 😔 >>> 10. Amei! 🤩",chatbot
"É muito importante o senhor estar atento aos  principais sinais de gravidade para o novo coronavírus que são: falta de ar moderada a intensa, febre persistente (por mais de 48 horas) e prostração importante. Nesses casos, você deve passar por uma avaliação médica o quanto antes.",chatbot
"Então vamos começar?

⚠️O resultado da autoavaliação depende da veracidade de suas respostas e não substitui a avaliação de um profissional de saúde.",chatbot
Informe o nome completo da mãe do titular do cartão,chatbot
"Para casos como esse, temos um time de atendimento que poderá rapidamente tirar suas dúvidas! Posso te transferir para eles?",chatbot
"Há quantos dias os sintomas iniciaram?
Responda apenas com o número de dias, exemplo: 2.",chatbot
Qual o seu primeiro nome?,chatbot
"Certo! Antes de encerrar peço 1 minutinho para que você avalie o meu atendimento (digite um número de 1 a 10), sendo:

1. Odiei. 😔 >>> 10. Amei! 🤩",chatbot
Não consegui entender.,chatbot
"Há quantos dias os sintomas começaram?

Responda apenas com o número de dias (exemplo: 2).",chatbot
"Do que você precisa agora?

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Orientações sobre cuidados psicológicos
4. Outros",chatbot
"Do que você precisa agora? (Digite o número da opção desejada)

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Cuidados com a Saúde Mental
4. Outros",chatbot
"Os principais sinais de gravidade para o novo coronavírus são: falta de ar moderada a intensa, febre persistente (por mais de 48 horas) e prostração importante. Nesses casos, você deve passar por uma avaliação médica o quanto antes.",chatbot
"Do que você precisa agora?

1. Atendimento e orientação sobre o novo Coronavírus (COVID-19)
2. Informações sobre o novo Coronavírus (COVID-19)
3. Outros",chatbot
"Você tem algum desses problemas de saúde?

Selecione uma ou mais das opções abaixo ou digite *NÃO* se não tiver nenhum dos problemas de saúde descritos.

*Considere deficiência imunológica: portador de HIV, em tratamento para algum câncer, portador de doenças autoimunes (como lúpus, síndrome antifosfolípide, ...), realizou transplante ou usa corticoides",chatbot
"Por falta de comunicação, estou encerrando o atendimento. Sempre que precisar, estarei por aqui!😊",chatbot
"•	Febre medida no termômetro? só consideramos febre a partir de 37,8.",chatbot
"Seja um(a) aliado(a) nessa luta, compartilhe esse serviço com pessoas e grupos que podem precisar da nossa ajuda.

Juntos venceremos essa luta contra o novo Coronavírus! 

#FiqueEmCasa 🏠",chatbot
"Por favor, antes de desconectar, avalie o meu atendimento. 
Dê uma nota de 1 a 10, sendo:

1.Ruim 😔 >>> 10. Muito bom! 🤩",chatbot
Você está em isolamento domiciliar?,chatbot
"Há quantos dias os sintomas começaram?

Responda apenas com o número de dias (exemplo: 2).",chatbot
"Deseja acessar outras orientações na nossa plataforma?

1. Sim
2. Não",chatbot
Hmmm... Deixa eu dar uma olhadinha aqui!,chatbot
Qual o seu primeiro nome?,chatbot
Um minutinho que já já alguém do nosso Time vai falar com você!,chatbot
Conto com a sua paciência! Logo alguém do meu time vai continuar a conversa. Você está em 1 º lugar na fila.,chatbot
"Só um momento, que vou verificar",chatbot
"Além de você, quantas pessoas moram na sua casa? 🏠",chatbot
Conto com a sua paciência! Logo alguém do meu time vai continuar a conversa. Você está em 1 º lugar na fila.,chatbot
Nos próximos instantes alguém do meu time vai te atender! Você está em 1 º lugar na fila.,chatbot
Conto com a sua paciência! Logo alguém do meu time vai continuar a conversa. Você está em 4 º lugar na fila.,chatbot
"Qual a sua data de nascimento?

Por favor, insira uma data no formato dd/mm/aaaa.",chatbot
"Qual a sua data de nascimento?

Por favor, insira uma data no formato dd/mm/aaaa.",chatbot
"Ok. Você está com algum dos sintomas abaixo?

1. Febre
2. Tosse
3. Nariz escorrendo
4. Dificuldade para respirar
5. Dor de cabeça
6. Dor de garganta
7. Dores pelo corpo
8. Diarreia

Digite os números dos sintomas separados por vírgula (exemplo: 2, 5, 8) ou digite *NÃO* se não tiver apresentado nenhum dos sintomas descritos acima.",chatbot
Atenção: Não é permitido o envio de áudio!,chatbot
"Olá! Você já é nosso cliente ou deseja conhecer nossos produtos?

- Sou Cliente
- Conhecer os produtos
- Falar com Atendente",chatbot
Qual o seu primeiro nome?,chatbot
"Antes de iniciarmos seu atendimento, em qual perfil você se enquadra:",chatbot
Conto com a sua paciência! Logo alguém do meu time vai continuar a conversa. Você está em 1 º lugar na fila.,chatbot
"Enviei, pode me informar a numeração que chegou?",chatbot
Atualização cadastral realizada:,chatbot
Quer fazer outra pergunta?,chatbot
"Quer fazer outra pergunta? (responda com *Sim* ou *Não*, por favor).",chatbot
Seu atendimento foi finalizado.,chatbot
:D,chatbot
Qual o seu primeiro nome?,chatbot
"Dessa vez, no que você precisa de ajuda?",chatbot
Um minutinho que já já alguém do nosso time vai falar com você!,chatbot
Qual o seu primeiro nome?,chatbot
"Além de você, quantas pessoas moram na sua casa? 🏠",chatbot
"Você está com algum desses sintomas? 😷

Selecione uma ou mais das opções abaixo.",chatbot
Hoje teve febre? De quanto?,chatbot
Como você se chama?,chatbot
"Além de você, quantas pessoas moram na sua casa? 🏠",chatbot
Em alguns instantes vamos te atender.,chatbot
"Por falta de comunicação, estou encerrando o atendimento. Sempre que precisar, estarei por aqui!😊",chatbot
"Por favor, antes de desconectar, avalie o meu atendimento. 
Dê uma nota de 1 a 10, sendo:

1.Ruim 😔 >>> 10. Muito bom! 🤩",chatbot
Qual o seu primeiro nome?,chatbot
"Beleza. Me passa o seu CPF ou CNPJ, por favor ?",chatbot
Conto com a sua paciência! Logo alguém do meu time vai continuar a conversa. Você está em 1 º lugar na fila.,chatbot
Qual o seu primeiro nome?,chatbot
Deixa eu te localizar aqui... Me diz qual é o seu e-mail cadastrado.,chatbot
"Do que você precisa agora? (Digite o número da opção desejada)

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Cuidados com a Saúde Mental
4. Outros",chatbot
"Você tem algum desses problemas de saúde?

Selecione uma ou mais das opções abaixo ou digite *NÃO* se não tiver nenhum dos problemas de saúde descritos.

*Considere deficiência imunológica: portador de HIV, em tratamento para algum câncer, portador de doenças autoimunes (como lúpus, síndrome antifosfolípide, ...), realizou transplante ou usa corticoides",chatbot
"Você está com algum desses outros sintomas? 😷

Selecione uma ou mais das opções abaixo.",chatbot
Qual o seu primeiro nome?,chatbot
"Contamos com você nessa luta contra o novo Coronavírus! Compartilhe esse serviço com pessoas e grupos que precisem da nossa ajuda. 

#FiqueEmCasa 🏠",chatbot
Quantos anos você tem?,chatbot
Suas dúvidas foram respondidas?,chatbot
Quer saber mais detalhes dos produtos ou já está decidido e quer falar com um dos nossos atendentes?,chatbot
"Por favor, antes de desconectar, avalie esse serviço.
Dê uma nota de 1 a 10, sendo:
 
1.Ruim 😔 >>> 10. Muito bom! 🤩",chatbot
"Vá de máscara, e tome todos os cuidados preventivos: fique à distancia de no mínimo 1 metro de outras pessoas, lave bem as mãos, uso alcool em gel sempre que possível",chatbot
Qual o seu primeiro nome?,chatbot
Qual o seu primeiro nome?,chatbot
*Obrigado. Em alguns minutos iremos atendê-lo. Permaneça com a conversa aberta.*,chatbot
Você ainda está na fila de espera.,chatbot
Obrigada por informar!,chatbot
"Estamos acionando um profissional de saúde para atender e cuidar de você. 👩‍⚕️👨‍⚕️

Por favor, complete as informações a seguir para agilizarmos o seu atendimento.",chatbot
Qual o seu primeiro nome?,chatbot
Bom dia 🌄,chatbot
Qual o seu primeiro nome?,chatbot
O compartilhamento da localização falhou. 😔 Vamos tentar de outra forma.,chatbot
Qual o seu primeiro nome?,chatbot
Vamos lá!,chatbot
Você faz tratamento para a depressão?,chatbot
Você já se cadastrou em nossa base de dados 😀,chatbot
"Enquanto isso, gostaria de saber um pouco mais sobre você.",chatbot
Qual o seu primeiro nome?,chatbot
Qual o seu primeiro nome?,chatbot
"Enquanto isso, gostaria de saber um pouco mais sobre você.",chatbot
"Opaaa, que maravilha!",chatbot
Estou encerrando essa conversa devido a inatividade. Até mais! 🙂,chatbot
Qual o seu bairro?,chatbot
Certo.,chatbot
Vou pedir que continue acompanhando os sintomas em casa e nos procure em casa de piora ou mudanaça do quadro,chatbot
"Do que você precisa agora? (Digite o número da opção desejada)

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Cuidados com a Saúde Mental
4. Outros",chatbot
Já encontrei seu pedido! Vou te passar mais informações...,chatbot
Ok.,chatbot
Obrigado por utilizar nosso portal!,chatbot
Por falta de comunicação estou encerrando o atendimento. Qualquer dúvida estarei a disposição.☺,chatbot
Como eu posso te ajudar?,chatbot
Nos próximos instantes alguém do meu time vai te atender! Você está em 2 º lugar na fila.,chatbot
Colabore! Não divulgue conteúdos que não tenham sido produzidos por fontes confiáveis e não espalhe fake news.,chatbot
"Do que você precisa agora? (Digite o número da opção desejada)

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Orientações sobre cuidados com a Saúde Mental
4. Outros",chatbot
Você tem mais de um cadastro conosco?,chatbot
Obrigado por informar!,chatbot
"Por falta de comunicação, estou encerrando o atendimento. Sempre que precisar, estarei por aqui!😊",chatbot
Pera só um instante que vou checar aqui se encontro algum pedido seu em aberto.,chatbot
"Quer fazer outra pergunta? (responda com *Sim* ou *Não*, por favor).",chatbot
Qual o seu primeiro nome?,chatbot
Qual o seu primeiro nome?,chatbot
Um momentinho,chatbot
Deixa eu te localizar aqui... Me diz qual é o seu e-mail cadastrado.,chatbot
"Do que você precisa agora?

1. Atendimento e orientação sobre o novo Coronavírus (COVID-19)
2. Informações sobre o novo Coronavírus (COVID-19)
3. Outros",chatbot
Qual o seu primeiro nome?,chatbot
Qual o seu primeiro nome?,chatbot
"Por favor, antes de desconectar, avalie esse serviço.
Dê uma nota de 1 a 10, sendo:
 
1.Ruim 😔 >>> 10. Muito bom! 🤩",chatbot
Suas dúvidas foram respondidas?,chatbot
"Quer fazer outra pergunta? (responda com *Sim* ou *Não*, por favor).",chatbot
